frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,53,[683.20 274.40 833.40 416.40],"[741.0824394226074, 351.3241882324219, 787.0788040161133, 366.6865692138672]",0.6721348166465759,A,0.7279472947120667
90,54,[537.00 320.00 595.33 440.00],,,,
91,29,[50.40 345.20 215.60 514.40],,,,
91,51,[12.40 262.20 135.60 351.40],,,,
91,52,[20.33 274.67 66.67 337.67],,,,
91,53,[682.80 273.40 832.60 415.80],,,,
91,54,[537.25 322.50 595.00 440.50],,,,
92,29,[28.80 346.00 200.00 524.00],,,,
92,51,[6.00 261.75 125.25 351.25],,,,
92,53,[682.60 272.00 831.60 414.60],,,,
92,54,[537.60 324.00 595.20 440.60],,,,
93,29,[11.00 346.20 185.20 533.00],,,,
93,51,[-0.33 261.00 113.67 350.33],,,,
93,53,[683.20 270.60 830.80 413.20],,,,
93,54,[538.20 327.80 594.60 441.00],,,,
93,55,[787.00 181.67 1276.67 521.00],"[1112.2854309082031, 238.99652862548828, 1235.4609680175781, 292.5391082763672]",0.6103426814079285,MECONS,0.6835162043571472
94,29,[-2.20 345.80 171.20 539.60],,,,
94,53,[685.20 270.00 830.60 412.20],,,,
94,54,[545.00 333.40 600.20 443.60],,,,
94,55,[769.00 167.50 1278.00 541.00],[1135.83 236.72 1256.49 290.38],0.0,BMRCL,0.9881882667541504
95,29,[-10.60 341.80 157.80 541.20],,,,
95,53,[688.60 269.80 830.60 411.60],,,,
95,54,[552.40 337.60 607.00 446.40],,,,
95,55,[765.00 170.20 1275.60 537.60],"[1159.3658447265625, 234.44086837768555, 1277.5177001953125, 288.2287063598633]",0.2763676047325134,MECONS,0.5040462613105774
96,29,[-15.60 338.20 143.80 541.60],,,,
96,46,[213.00 166.00 466.00 434.00],"[269.0100631713867, 369.6925964355469, 327.35865020751953, 392.7160186767578]",0.5500879287719727,IPEI,0.5766540169715881
96,50,[69.67 270.00 164.67 344.67],,,,
96,53,[692.80 270.00 830.80 410.80],,,,
97,29,[-17.75 336.00 137.00 541.25],,,,
97,46,[213.00 166.00 466.00 434.00],[251.35 374.51 311.08 398.87],0.0,IPEI,0.5766540169715881
97,50,[60.25 267.75 161.25 345.25],,,,
97,53,[697.00 270.00 831.20 410.20],,,,
98,29,[-19.33 332.00 130.00 538.00],,,,
98,46,[213.00 166.00 466.00 434.00],[233.69 379.33 294.81 405.03],0.0,IPEI,0.5766540169715881
98,50,[50.80 265.20 157.20 345.00],,,,
98,53,[701.60 270.60 831.80 410.00],,,,
99,46,[213.00 166.00 466.00 434.00],[216.03 384.15 278.53 411.18],0.0,IPEI,0.5766540169715881
99,50,[34.00 261.60 148.80 345.40],,,,
99,53,[706.00 271.40 832.20 410.00],,,,
100,46,[213.00 166.00 466.00 434.00],[198.36 388.96 262.26 417.33],0.0,IPEI,0.5766540169715881
100,50,[19.00 258.40 140.20 347.00],,,,
100,53,[710.80 272.60 832.80 410.00],,,,
101,46,[213.00 166.00 466.00 434.00],[180.70 393.78 245.98 423.49],0.0,IPEI,0.5766540169715881
101,50,[6.40 254.80 131.20 348.80],,,,
101,53,[716.20 274.40 833.60 410.40],,,,
