frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
51,38,"[485, 301, 527, 360]",,,,
51,34,"[345, 266, 422, 314]",,,,
51,32,"[441, 267, 483, 306]",,,,
51,31,"[209, 292, 259, 331]",,,,
51,22,"[638, 278, 689, 325]",,,,
51,10,"[694, 267, 814, 378]",,,,
51,2,"[550, 321, 653, 470]",,,,
52,38,"[481, 302, 523, 361]",,,,
52,34,"[340, 265, 415, 314]",,,,
52,32,"[433, 266, 478, 307]",,,,
52,31,"[201, 293, 252, 333]",,,,
52,22,"[636, 279, 687, 326]",,,,
52,10,"[693, 267, 814, 379]",,,,
52,2,"[550, 320, 653, 470]",,,,
53,38,"[478, 301, 521, 361]",,,,
53,34,"[334, 265, 407, 315]",,,,
53,32,"[428, 266, 473, 307]",,,,
53,22,"[634, 278, 686, 326]",,,,
53,10,"[694, 267, 815, 380]",,,,
53,2,"[550, 321, 654, 471]",,,,
54,38,"[475, 302, 518, 363]",,,,
54,34,"[329, 265, 399, 314]",,,,
54,32,"[420, 265, 466, 306]",,,,
54,22,"[633, 277, 685, 326]",,,,
54,10,"[695, 268, 817, 381]",,,,
54,2,"[550, 319, 655, 471]",,,,
55,38,"[473, 301, 518, 363]",,,,
55,34,"[324, 264, 390, 314]",,,,
55,22,"[632, 276, 684, 326]",,,,
55,10,"[696, 268, 819, 381]",,,,
55,2,"[551, 320, 657, 472]",,,,
56,44,"[684, 277, 717, 308]",,,,
56,38,"[469, 300, 515, 364]",,,,
56,34,"[321, 263, 382, 312]",,,,
56,22,"[633, 275, 684, 325]",,,,
56,10,"[698, 268, 821, 382]",,,,
56,2,"[551, 315, 658, 470]",,,,
57,45,"[285, 278, 336, 335]",,,,
57,44,"[685, 277, 719, 307]",,,,
57,38,"[465, 300, 512, 364]",,,,
57,22,"[633, 274, 683, 324]",,,,
57,10,"[699, 267, 823, 382]",,,,
57,2,"[552, 311, 659, 469]",,,,
58,45,"[281, 281, 332, 334]",,,,
58,44,"[683, 276, 719, 307]",,,,
58,38,"[461, 299, 510, 364]",,,,
58,32,"[399, 262, 447, 304]",,,,
58,10,"[700, 267, 825, 382]",,,,
58,2,"[552, 309, 660, 470]",,,,
59,44,"[681, 275, 719, 307]",,,,
59,38,"[457, 297, 507, 365]",,,,
59,32,"[392, 261, 440, 304]",,,,
59,10,"[700, 266, 826, 381]",,,,
59,2,"[553, 309, 663, 471]",,,,
60,47,"[636, 271, 676, 305]",,,,
60,44,"[680, 275, 719, 307]",,,,
60,38,"[452, 298, 503, 366]",,,,
60,10,"[701, 265, 827, 381]",,,,
60,2,"[553, 322, 661, 477]",,,,
61,47,"[635, 271, 675, 306]",,,,
61,44,"[681, 275, 720, 307]",,,,
61,43,"[518, 226, 606, 342]",,,,
61,38,"[447, 298, 500, 367]",,,,
61,10,"[701, 264, 829, 381]",,,,
61,2,"[553, 328, 659, 478]",,,,
62,44,"[680, 274, 719, 306]",,,,
62,43,"[513, 225, 604, 342]",,,,
62,38,"[442, 298, 495, 368]",,,,
62,36,"[123, 283, 185, 334]",,,,
62,10,"[702, 263, 830, 381]",,,,
62,2,"[554, 331, 661, 478]",,,,
63,44,"[675, 274, 717, 306]",,,,
63,43,"[509, 223, 603, 342]",,,,
63,38,"[437, 299, 490, 370]",,,,
63,36,"[114, 283, 177, 334]",,,,
63,10,"[702, 262, 830, 381]",,,,
63,2,"[556, 329, 666, 476]",,,,
64,44,"[675, 274, 717, 306]",,,,
64,43,"[505, 222, 603, 343]",,,,
64,38,"[428, 300, 485, 372]",,,,
64,36,"[106, 286, 169, 336]",,,,
64,10,"[702, 262, 832, 381]",,,,
64,2,"[557, 326, 670, 476]",,,,
65,44,"[673, 274, 717, 306]",,,,
65,43,"[499, 222, 600, 345]",,,,
65,38,"[424, 302, 482, 375]",,,,
65,36,"[96, 283, 161, 336]",,,,
65,10,"[702, 262, 833, 382]",,,,
65,2,"[559, 324, 673, 476]",,,,
66,52,"[828, 229, 1178, 494]","[951.8448333740234, 245.75094413757324, 995.1355285644531, 282.3105583190918]",0.20124411582946777,BMRCL,0.923536479473114
66,44,"[674, 274, 716, 306]",,,,
66,43,"[495, 221, 598, 346]",,,,
66,38,"[418, 305, 477, 378]",,,,
66,36,"[87, 286, 152, 338]",,,,
66,10,"[702, 263, 833, 384]",,,,
66,2,"[560, 322, 676, 478]",,,,
67,52,"[823, 223, 1209, 524]",,,,
67,44,"[673, 275, 714, 307]",,,,
67,43,"[491, 221, 598, 348]",,,,
67,38,"[411, 307, 471, 382]",,,,
67,36,"[77, 286, 143, 340]",,,,
67,10,"[703, 263, 833, 386]",,,,
67,2,"[562, 324, 678, 482]",,,,
68,52,"[820, 217, 1241, 551]","[972.1226959228516, 245.44483375549316, 1022.8784027099609, 282.48538970947266]",0.2699914276599884,BMRCL,0.9151589274406433
68,44,"[671, 276, 713, 309]",,,,
68,43,"[484, 222, 594, 350]",,,,
68,38,"[403, 307, 466, 384]",,,,
68,36,"[67, 287, 135, 343]",,,,
68,10,"[703, 264, 834, 387]",,,,
68,2,"[562, 325, 678, 486]",,,,
69,52,"[819, 213, 1273, 575]",,,,
69,44,"[668, 277, 711, 310]",,,,
69,43,"[478, 222, 589, 352]",,,,
69,38,"[396, 310, 459, 387]",,,,
69,36,"[57, 287, 125, 344]",,,,
69,10,"[702, 265, 834, 388]",,,,
69,2,"[561, 328, 679, 491]",,,,
70,52,"[819, 211, 1290, 596]","[996.2207183837891, 242.97483444213867, 1055.5857391357422, 286.3525924682617]",0.3172285556793213,BMRCL,0.9654756784439087
70,44,"[662, 277, 709, 312]",,,,
70,43,"[472, 221, 585, 354]",,,,
70,38,"[388, 312, 452, 391]",,,,
70,34,"[226, 261, 331, 325]",,,,
70,10,"[702, 265, 834, 389]",,,,
70,2,"[560, 330, 680, 497]",,,,
71,52,"[822, 194, 1296, 564]",,,,
71,44,"[661, 277, 709, 312]",,,,
71,43,"[467, 220, 583, 354]",,,,
71,38,"[379, 315, 445, 394]",,,,
71,34,"[218, 261, 323, 326]",,,,
71,32,"[344, 263, 400, 311]",,,,
71,10,"[701, 266, 835, 390]",,,,
71,2,"[558, 332, 678, 500]",,,,
72,56,"[459, 218, 579, 353]",,,,
72,52,"[821, 194, 1297, 565]",,,,
72,51,"[129, 280, 184, 329]",,,,
72,44,"[661, 277, 709, 313]",,,,
72,38,"[369, 316, 439, 397]",,,,
72,34,"[214, 261, 326, 328]",,,,
72,32,"[337, 262, 391, 311]",,,,
72,10,"[701, 265, 836, 391]",,,,
72,2,"[558, 332, 679, 502]",,,,
73,56,"[453, 217, 576, 354]",,,,
73,51,"[118, 280, 175, 329]",,,,
73,44,"[661, 276, 710, 312]",,,,
73,38,"[360, 316, 432, 399]",,,,
73,34,"[206, 260, 325, 330]",,,,
73,32,"[330, 262, 384, 311]",,,,
73,10,"[700, 264, 837, 391]",,,,
73,2,"[558, 332, 680, 505]",,,,
74,57,"[417, 263, 452, 304]",,,,
74,56,"[447, 214, 574, 355]",,,,
74,51,"[111, 280, 169, 329]",,,,
74,44,"[662, 275, 710, 313]",,,,
74,38,"[350, 316, 426, 401]",,,,
74,34,"[197, 259, 320, 329]",,,,
74,32,"[324, 260, 377, 310]",,,,
74,10,"[699, 263, 838, 391]",,,,
74,2,"[560, 330, 682, 506]",,,,
75,57,"[411, 263, 447, 304]",,,,
75,56,"[440, 212, 570, 357]",,,,
75,51,"[105, 275, 163, 327]",,,,
75,44,"[659, 274, 705, 312]",,,,
75,38,"[341, 316, 419, 404]",,,,
75,34,"[188, 258, 313, 328]",,,,
75,32,"[321, 259, 371, 309]",,,,
75,10,"[698, 261, 838, 390]",,,,
75,2,"[562, 329, 684, 509]",,,,
76,57,"[407, 261, 442, 302]",,,,
76,56,"[433, 210, 565, 358]",,,,
76,51,"[100, 275, 157, 329]",,,,
76,44,"[660, 274, 703, 313]",,,,
76,38,"[330, 317, 410, 407]",,,,
76,34,"[180, 255, 309, 327]",,,,
76,32,"[313, 258, 363, 308]",,,,
76,10,"[697, 259, 839, 390]",,,,
76,2,"[561, 330, 685, 513]",,,,
77,57,"[401, 261, 435, 302]",,,,
77,56,"[426, 208, 562, 360]",,,,
77,51,"[93, 276, 149, 329]",,,,
77,44,"[659, 274, 701, 314]",,,,
77,41,"[60, 548, 237, 690]",,,,
77,38,"[319, 316, 403, 410]",,,,
77,34,"[172, 257, 305, 329]",,,,
77,10,"[696, 258, 839, 390]",,,,
77,2,"[559, 328, 686, 517]",,,,
78,57,"[393, 263, 427, 303]",,,,
78,56,"[419, 206, 558, 363]",,,,
78,51,"[86, 278, 140, 331]",,,,
78,44,"[657, 273, 700, 315]",,,,
78,38,"[307, 316, 394, 414]",,,,
78,34,"[161, 256, 295, 329]",,,,
78,10,"[694, 258, 839, 390]",,,,
78,2,"[560, 330, 687, 521]",,,,
79,57,"[390, 264, 421, 304]",,,,
79,56,"[411, 206, 552, 368]",,,,
79,51,"[80, 279, 134, 332]",,,,
79,38,"[293, 317, 385, 419]",,,,
79,10,"[692, 259, 839, 392]",,,,
79,2,"[559, 336, 688, 529]",,,,
80,56,"[401, 204, 547, 370]",,,,
80,51,"[73, 280, 128, 334]",,,,
80,38,"[271, 317, 372, 425]",,,,
80,10,"[691, 260, 839, 394]",,,,
80,2,"[559, 338, 690, 533]",,,,
81,56,"[392, 203, 543, 374]",,,,
81,53,"[151, 257, 258, 333]",,,,
81,51,"[65, 283, 123, 336]",,,,
81,38,"[258, 317, 363, 430]",,,,
81,10,"[689, 261, 839, 396]",,,,
81,2,"[561, 342, 692, 540]",,,,
82,56,"[383, 203, 537, 378]",,,,
